method,v1,v2
stop,2.202794789605034,0.17602151169580216
stop,2.9075101725083687,1.6384454432268742
stop,3.520776322098448,2.403508097943279
straight,3.465332887800009,0.5993259517135593
stop,2.0667847209305745,0.09404097515554621
stop,3.0473590897170246,1.5309663200581647
stop,3.756865961352878,2.677000200396113
straight,3.111453328258083,0.45937083119650013
stop,1.9647819146330252,0.020884859218418313
stop,3.2117043660435267,1.3819397456403244
stop,3.9693531102491497,2.987940800444925
straight,2.745509456759587,0.3317487571774739
stop,1.914971841251192,0.1525206913137498
stop,3.3752121762742773,1.2117028821771294
stop,4.164137259000137,2.9777872358147652
straight,2.370619773373451,0.22503661036217448
stop,1.9341810274690472,0.29201984613014575
stop,3.5197018332120984,1.0331108842133663
stop,4.350291768732055,2.659466104629983
straight,1.9934358834314052,0.1430198496132915
stop,2.0320414982092023,0.43606956496232036
stop,3.6396191499259847,0.8526382301295072
stop,4.538481002706413,2.3429870556433032
straight,1.6183378881365353,0.08431732740548115
stop,2.209127251755214,0.58249154317335
stop,3.7328339127885464,0.6720971189741682
stop,4.743084835230716,2.027821834190777
straight,1.2446531622020574,0.04475030251228462
stop,2.4595765677228014,0.7304432989274795
stop,3.799887639597473,0.49099726115905895
stop,4.9785120258994136,1.7125642874756135
straight,0.8755334192076498,0.020195069983961034
stop,2.7750088381551157,0.8792115943975158
stop,3.842844527156061,0.3079828256452477
stop,5.253525403611232,1.3978417242177814
straight,0.5128303441189556,0.006633620833694565
stop,3.146871089749555,1.02793035891494
stop,3.868139180447858,0.12290465732919609
stop,5.572495795335839,1.0849017159718102
straight,0.15639577907675234,0.0007514439922824412
stop,3.565479075896342,1.1767860038647724
stop,3.880646606592591,0.06474023029056175
stop,5.93338999322877,0.7726951621824387
straight,0.21793451564763852,0.00042512317271936606
stop,4.0247275439943175,1.3263736140771627
stop,3.888834882515082,0.25406662771624555
stop,6.326556065498638,0.4601385747226092
straight,0.5637959266235671,0.003907090975372451
stop,4.519943551967497,1.4750170504787121
stop,3.9054491989295688,0.44388355183426725
stop,6.736839957988066,0.14677661197238479
straight,0.9023720190433784,0.009840680148337388
stop,5.044116236437254,1.6218540076535675
stop,3.9416804720384513,0.6316551027800181
stop,7.1562329293462605,0.1670326370403874
straight,1.2295388374647735,0.017086922603179566
stop,5.592691872482787,1.7673134744913144
stop,4.014133429643677,0.8176574449828817
stop,7.574561413276593,0.4807968449274806
straight,1.545510170665674,0.02477807601046067
stop,6.162510299659275,1.9115391607395207
stop,4.141640535565537,1.0024300131067543
stop,7.976389307269354,0.7961248946579782
straight,1.8533754012727417,0.03232150078108853
stop,6.748659041608919,2.0545275297576726
stop,4.3363892638069315,1.187840045565669
stop,8.354872371918093,1.1127899176615714
straight,2.153202111006294,0.03959373988250514
stop,7.344660129811842,2.1966980768640934
